[null],sRGB,Adobe sRGB,Indexed,Grayscale,CMYK,LAB,HSV
Ability Photopaint,Yes,?,Yes,Yes,Import only,[null],[null]
ACD Canvas,Yes,?,Yes,Yes,Yes,[null],[null]
ACDSee (Win),Yes,Yes,Yes,Yes,No,No,No
Acorn Image Editor,Yes,Yes,Import only,Import only,Yes,Import only,Import only
Adobe Fireworks*,Yes,Yes,Yes,Yes,Yes,No,Yes
Adobe Photoshop,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adobe Photoshop Lightroom,Yes,Yes,?,Yes,Import only,?,?
Affinity Photo,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Autodesk SketchBook Pro,Yes,?,Yes,No,No,[null],[null]
Artipic,Yes,Yes,Yes,Import only,Import only,Import only,Import only
ArtRage,Yes,?,No,No,No,[null],[null]
Artweaver,Yes,?,?,?,?,[null],[null]
Bibble*,Yes,Yes,?,Yes,?,?,?
Brush Strokes Image Editor,Yes,?,?,?,?,[null],[null]
Capture One,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Chasys Draw IES,Yes,No,Yes,Yes,Partial,No,Partial
CinePaint,Yes,Yes,No,Yes,Yes,Yes,[null]
CodedColor PhotoStudio Pro,Yes,Yes,Yes,Yes,Yes,[null],[null]
Corel PaintShop Pro,Yes,Yes,Yes,Yes,Yes,Partial[29],Partial[29]
Corel Painter,Yes,?,No,No,Yes,[null],[null]
Corel Photo-Paint,Yes,Yes,Yes,Yes,Yes,Yes,[null]
darktable,Yes,Yes,?,?,?,Yes,?
Deluxe Paint*,Yes,?,Yes,Yes,No,[null],Yes
Erdas Imagine,Yes,Yes,Yes,Yes,Yes,No,Yes
Fatpaint,Yes,No,Partial,Partial,Partial,No,Partial
Fotografix,Yes,No,Import only,Import only,Import only,No,No
GIMP,Yes,Yes,Yes,Yes,Partial[30],Partial[29],Yes
GIMPshop,Yes,Yes,Yes,Yes,Partial[30],No,Yes
GrafX2,No,No,Yes,No,No,No,No
GraphicConverter,Yes,Yes,Yes,Yes,Yes,[null],[null]
Helicon Filter,Yes,Yes,?,Yes,Yes,[null],[null]
iPhoto*,Yes,Yes,No,Yes,Yes,Yes,Yes
IrfanView,Yes,?,Yes,Yes,No,[null],[null]
Iridient Developer,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kolourpaint,Yes,?,No,Yes,No,[null],[null]
Krita,Yes,Yes,No,Yes,Yes,Yes,Yes
MacPaint*,No,No,No,Yes,No,[null],[null]
Microsoft Office Picture Manager*,Yes,?,?,?,No,[null],[null]
Microsoft Paint,Yes,?,Import only,No,No,No,No
Microsoft Photo Editor*,Yes,?,Yes,Yes,No,[null],[null]
mtPaint,Yes,?,?,Yes,?,?,?
OpenCanvas,Yes,?,?,Yes,No,[null],[null]
Paint.NET,Yes,No,Partial,Partial,Partial,No,Partial
Paint Tool SAI,Yes,No,?,Yes,?,?,?
PC Paintbrush*,No,?,Yes,No,No,[null],[null]
Photogenics,Yes,Yes,Yes,Yes,Yes,[null],[null]
PhotoLine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PhotoPerfect*,Yes,Import only,No,Yes,Import only,Curve editing only,No
Photos,Yes,Yes,No,Yes,Yes,Yes,Yes
Photo Raster,Yes,No,No,Partial,No,No,No
Picasa*,Yes,?,Partial,Partial,No,[null],[null]
PicMaster,Yes,No,No,Yes,Yes,Yes,Yes
PixBuilder Photo Editor,Yes,Yes,Yes,Yes,No,[null],[null]
Pixelmator,Yes,Yes,Yes,No,No,No,No
Pixia,Yes,?,No,No,No,[null],[null]
Project Dogwaffle,Yes,?,No,No,No,[null],[null]
QFX,Yes,Yes,Yes,Yes,Yes,[null],[null]
RawTherapee,Yes,Yes,No,Yes,No,Yes,Yes
Seashore,Yes,Yes,?,Yes,Yes,?,?
Serif PhotoPlus,Yes,Yes,?,Yes,Yes,?,?
Tux Paint,Yes,No,No,No,No,No,No
TVPaint,Yes,?,No,No,No,[null],[null]
Ulead PhotoImpact*,Yes,Yes,Yes,Yes,Import only,No,Yes
Ultimate Paint*,Yes,?,Yes,Yes,No,[null],[null]
WinImages,Yes,?,?,?,Yes,[null],Yes
Xara Photo & Graphic Designer,Yes,Partial,Partial,Partial,Partial,No,Partial
XnView,Yes,?,Yes,Yes,Partial,No,Partial
XPaint,Yes,No,Partial,Yes,No,No,No
Zoner Photo Studio,Yes,Yes,Yes,Yes,Partial,Partial,No
