Meaning,Spanish,Portuguese,Notes
newspaper  journal,periódico < Lat. periodĭcus < gr. περιοδικός [16],jornal < Fra. journal,[null]
journalist,periodista < Lat. periodĭcus < gr. περιοδικός [17],jornalista < Fra. journaliste,[null]
journey,recorrido < Lat. recurrēre [18],jornada < Provençal. jornada < jorn[19],[null]
shop window,escaparate < Ned. schaprade[20],montra < Fra. montre,The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used.
boutique  clothes store,tienda< Lat. tenda[21],boutique  butique < Fra. boutique[22],[null]
scarf,bufanda < Uncertain  maybe O.Fra. bouffant[23],cachecol  écharpe cache-col  écharpe[24],[null]
lampshade  bedside lamp,lámpara < Lat. < Gre. lampāda < λαμπάς[25],abajur < Fra. abat-jour[26],[null]
New Year's Eve,Nochevieja < Lat. noctis + veclus < vetūlus[27],Reveillon < Fra. Reveillon,[null]
frisson,escalofrío < Lat. + prefix ex + cale+ frige[28],frisson < Fra. frisson[29],[null]
gaffe  blunder,metedura de pata < Lat. + Ar. < mittēre + batt[30],gafe < Fra. gaffe [31],[null]
brioche,bollo de leche < Lat. < bulla + lactis[32]  [33],brioche < Fra. brioche [34],[null]
croissant,medialuna < Lat. < media + luna[35],croissant  croassã < Fra. croissant [36],[null]
courgette  zucchini,calabacín < Pre-roman calabaza[37],courgette  curgete < Fra. courgette [38],[null]
blueberry,arándano < Celt + Lat. aran + rodamdārum[39],mirtilo < Fra. myrtille [40],In Por. arando < Celt aran means cranberry
billy club  truncheon,porra < Lat. porrum[41],cassetete  casse-tête < Fra. casse-tête [42],[null]
creche,guardería infantil <Ger. + Lat. warda + infantīlis [43],creche < Fra. crèche[44],[null]
voyeur,mirón < Lat. mirāri [45],voyeur < Fra. voyeur,[null]
omelette,tortilla < uncertain + suffix torta + illa,omelete < Fra. omelette[46],[null]
swing,columpio < Leon. < Gr. columbiar < κολυμβᾶν kolymbân [47],balancé < Fra. balancé[48],[null]
lipstick,pintalabios < Lat. pinctāre + labium [49],batom < Fra. bâton[50],[null]
cap,gorra < uncertain gorra [51],boné < Fra. bonnet[52],[null]
hat,sombrero < Lat subumbrāre[53],chapéu < O.Fra. chapel[54],[null]
fanny  pussy,coño < Lat cunnus [55],chochota < Fra. chochotte[56],* popular slang/vulgar word in Brazil
(train) station,estación (ferrocarril) < Lat. statiōnis[57],gare < Fra. gare [58],The term gare in Port. is also used for bus-station.
quay  jetty  key,muelle < Lat. mollis[59],cais < Fra. quai [60],The term cais in Port. is also used for railway platforms.
vehicle,vehículo < Lat. vehiculum[61],viatura < Fr. voiture [62],[null]
package  packaging,envase < Lat. in + vasum[63],embalagem < Fr. emballage [64],[null]
rissole,empanadilla rellena < Lat. + prefix en + panis + re + plenus,rissol  rissole < Fra. rissole[65],[null]
souvenir,recuerdo < Lat. recordāri[66],souvenir  suvenir < Fr. souvenir [67],[null]
strike,huelga < Lat. follicāre[68],greve < Fr. grève [69],[null]
