OLAP server,Windows,Linux,UNIX,z/OS,AIX
Apache Kylin,No,Yes,Yes,No,No
Druid,No,Yes,Yes,[null],[null]
Apache Pinot (Incubating),No,Yes,Yes,[null],[null]
Essbase,Yes,Yes,Yes,No,[null]
IBM Cognos TM1,Yes,Yes,Yes,No,Yes
icCube,Yes,Yes,Yes,Yes,Yes
Infor BI OLAP Server,Yes,No,No,No,[null]
Jedox OLAP Server,Yes,Yes,Yes,No,[null]
Kyligence,No,Yes,Yes,No,No
Kyvos,No,Yes,Yes,No,No
Microsoft Analysis Services,Yes,No,No,No,[null]
MicroStrategy Intelligence Server,Yes,Yes,Yes,No,Yes
Mondrian OLAP server,Yes,Yes,Yes,Yes,[null]
Oracle Database OLAP Option,Yes,Yes,Yes,Yes,[null]
SAP NetWeaver BW,Yes,Yes,Yes,Yes,[null]
SAS OLAP Server,Yes,Yes,Yes,Yes,[null]
