Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
Freedcamp,Yes,No,Yes,Proprietary,[null]
FusionForge,Yes,Yes,Unknown,GPL,PHP
GanttProject,No,Yes,Unknown,GPL,Java
Genius Project,Yes,Yes,Yes,Proprietary,[null]
Group-Office,Yes,Yes,Yes,Proprietary,[null]
GroveSite,Yes,Unknown,Yes,Unknown,[null]
Hall.com,Yes,Unknown,Yes,Unknown,[null]
Helix ALM,Yes,Yes,Yes,Proprietary,C++
HeySpace,Yes,No,Yes,Proprietary,JavaScript
HP Project & Portfolio Software,Yes,Yes,Proprietary,[null],[added]
Huddle,Yes,Unknown,Unknown,Proprietary,[null]
Hyperoffice,Yes,Unknown,Unknown,Proprietary,[null]
iManageProject,Yes,Unknown,Yes,Unknown,[null]
InLoox,Yes,Yes,Yes,Proprietary,[null]
in-Step BLUE,Yes,Yes,No,Proprietary,[null]
IRise,Yes,Yes,Yes,Proprietary,Java
Jira,Yes,Yes,Yes,Proprietary,Java
Launchpad,Yes,No,Yes,AGPL,Python
LibrePlan,Yes,Yes,Yes,AGPL,Java
LiquidPlanner,Yes,No,Yes,Proprietary,Ruby
LisaProject,No,Unknown,Unknown,Proprietary,[null]
MacProject,No,Unknown,Unknown,Proprietary,[null]
MantisBT,Yes,Yes,No,GPL,PHP
MeisterTask,Yes,No,Yes,Proprietary,Ruby on Rails  React  Redux
Métier,Yes,Yes,Yes,Proprietary,[null]
Microsoft Dynamics AX,No,Yes,No,Proprietary,X++
Microsoft Office Project Server,Yes,Yes,Yes,Proprietary,[null]
Microsoft Project,Yes,Yes,Yes,Proprietary,[null]
Microsoft SharePoint Server,Yes,Yes,Yes,Proprietary,[null]
Microsoft Team Foundation Server,Yes,Yes,Yes,Proprietary,[null]
Milestones Professional,No,Yes,No,Proprietary,C++
Mingle,Yes,Yes,Yes,Proprietary,Ruby on Rails
MyWorkPLAN,No,Unknown,Unknown,Proprietary,[null]
NetPoint,No,Unknown,Unknown,Proprietary,[null]
NetSuite,Yes,Unknown,Yes,Unknown,[null]
O3Spaces,No,Unknown,Unknown,Proprietary,[null]
OmniPlan,No,Yes,No,Proprietary,[null]
Onepager pro,No,Yes,No,Proprietary,ASP.NET
Open Workbench,No,Unknown,Unknown,Open source,[null]
OpenProj,No,Unknown,Yes,CPAL,Java
OpenProject,Yes,Yes,Yes,GPL,Ruby on Rails and AngularJS
OnlyOffice,Yes,Yes,Yes,GPL,ASP.NET
Oracle Primavera EPPM (Primavera P6),Yes,Yes,Yes,Proprietary,[null]
phpGroupWare,Yes,Unknown,Unknown,GPL,PHP
PHProjekt,Yes,Unknown,Unknown,LGPL,PHP
Pivotal Tracker,Yes,No,Yes,Unknown,Ruby
Plandora,Yes,Yes,Unknown,LGPL,Java
Planisware,Yes,Yes,Yes,Proprietary,[null]
PLANTA Project,Yes,Yes,No,Proprietary,[null]
Project Builder,Yes,Yes,Yes,Proprietary,[null]
Project KickStart,No,Yes,Unknown,Proprietary,[null]
Project Team Builder,Yes,Yes,Yes,Proprietary,[null]
Projector PSA,Yes,Yes,Yes,Proprietary,[null]
ProjectLibre,No (Cloud based version under development)[10],Yes,No (Included in future plans)[11],CPAL,Java
ProjectManager.com,Yes[12],No,Yes,Proprietary,[null]
Project.net,Yes,Yes,Yes,GPL,Java
Projectplace,Yes,No,Yes,Proprietary,[null]
Projektron BCS,Yes,Yes,Yes,Proprietary,Java
ProjeQtOr,Yes,Yes,Yes,AGPL,PHP
Proliance,Yes,Yes,Yes,Proprietary,[null]
ProjectLink,Yes,Yes,Yes,Proprietary,[null]
Prolog,Yes,Yes,Yes,Proprietary,[null]
Priority Matrix,Yes,No,Yes,Proprietary,[added]
Pyrus,Yes,Yes,Yes,Proprietary,[null]
RationalPlan,Yes,Yes,Yes,Proprietary,[null]
Realisor,No,Yes,No,Proprietary,[null]
Redbooth,Yes[13],Yes,Yes[13],AGPL;[14] Proprietary (version 4),Ruby on Rails
Redmine,Yes,Yes,Yes [15][16][17],GPL,Ruby
Rillsoft Project & Integration Server,Yes,Yes,Yes,Proprietary,C++ and PHP
RiskyProject,Yes,Yes,Yes,Proprietary,[null]
SAP Business ByDesign,Yes,Unknown,Yes,Proprietary,[null]
Sciforma,Yes,Yes,Yes,Proprietary,[null]
Scoro,Yes,No,Yes,Proprietary,PHP[18]
Seavus Project Viewer (software),Yes,Yes,Yes,Proprietary,C++
Severa,Yes,Unknown,Yes,Unknown,[null]
Smartsheet,Yes,Unknown,Yes,Proprietary,PHP
Spider Project,No,No,No,Proprietary,[added]
Streamtime Software,Yes,No,Yes,Proprietary,PHP
TACTIC,Yes,Yes,Yes,Eclipse Public License,Python
Talygen,Yes,No,Yes,Proprietary,ASP.NET
TaskJuggler,No,Yes,No,GPL,Ruby
Teamcenter,Yes,Yes,Yes,Proprietary,[null]
TeamDynamixHE,Yes,Yes,Yes,Proprietary,[null]
Teamwork.com,Yes,No,Yes,Proprietary,[null]
Tom's Planner,Yes,Unknown,Unknown,Proprietary,[null]
Trac,Yes,Yes,Yes,(modified) BSD license,Python
TrackerSuite.Net,Yes,Yes,Yes,Proprietary,[null]
Traction TeamPage,Yes,Yes,Yes,Proprietary,Java
Trello,Yes,No,Yes,Proprietary,CoffeeScript  Backbone.js  HTML5  Mustache templating language  MongoDB  Node.js  Socket.io
Triskell,Yes,No,Yes,Proprietary,Java
Tuleap,Yes,Yes,Yes,GPL,[null]
Twproject,Yes,Yes,Yes,Proprietary,[null]
UniPhi,Yes,Yes,Yes,Proprietary,ASP.NET
Vpmi,Yes,Unknown,Unknown,Proprietary,[null]
web2project,Yes,Unknown,Unknown,GPL,PHP
Workamajig,Yes,Yes,Yes,Proprietary,[null]
Workfront,Yes[19],No,Yes,Proprietary,[null]
WorkPLAN Enterprise,No,Unknown,Unknown,Proprietary,[null]
workspace.com,Yes,Unknown,Yes,Proprietary,[null]
Wrike,Yes,Unknown,Yes,Proprietary,[added]
Zoho Projects,Yes,No,Yes,Proprietary,PHP
