Software,BibTeX,Copac,CSA,Endnote/Refer/BibIX,ISI,Medline,MODS XML,Ovid,PubMed,RIS,SciFinder,Other
Bebop,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BibBase,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BibDesk,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Biblioscape,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],?
BibSonomy,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bibus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bookends,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Citavi,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CiteULike,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
colwiz,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
EndNote,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],</ref>}}
F1000Workspace,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
JabRef,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
KBibTeX,[null],[null],[null],[null],[null],[null],<ref name="bibutils"/>,[null],[null],[null],[null],[null]
Mendeley,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Paperpile,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Pybliographer,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Qiqqa,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ReadCube (now Papers),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
refbase,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RefDB,[null],<ref name="bibutils"/>,[null],<ref name="bibutils"/>,<ref name="bibutils"/>,[null],[null],[null],[null],[null],<ref name="bibutils"/>,[null]
Reference Manager,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],</ref> user-customizable}}
Referencer,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RefWorks,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],</ref>}}
SciRef,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],?
Sente,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Wikindx,[null],<ref name="bibutils"/>,[null],[null],<ref name="bibutils"/>,[null],<ref name="bibutils"/>,[null],[null],[null],[null],[null]
WizFolio,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],</ref>}}
Zotero<ref name="zotero-supported-formats"></ref>,[null],<ref name="zotero-no-import">Zotero can import references directly from the database after which this format is named  although it cannot read the format itself.</ref>,<ref name="zotero-no-import"/>,[null],[null],[null],[null],[null],[null],[null],[null],, Endnote XML
