Editor,Version,Year,Creator,Software license
Amaya,11.4.4 (January 18),2012,W3C  INRIA,[null]
Aptana Studio,3.6.0 (August 1),2014,Aptana,[null]
Arachnophilia,5.5  build 2935 (March 9),2018,Paul Lutus <ref></ref>,[null]
Atom,1.43.0 (January 14),2020,GitHub,MIT License
Bluefish,2.2.10 (January 27),2017,Bluefish,[null]
BlueGriffon,3.0.1 (November 22),2017,Disruptive Innovations,[null]
Brackets,1.13 (June 18),2018,Adobe,[null]
Claris Homepage,3.0,1998,Claris,[null]
Coda,2,2012,Panic  Inc.,[null]
Codelobster,5.10.1 (August 22),2016,Codelobster Software,[null]
CoffeeCup HTML Editor,15.1 (July 10),2015,CoffeeCup Software,[null]
CudaText,1.57.0 (June 25),2018,UVViewSoft (alexey_t  kvichans  matthias030),[null]
Contribute,CS6.5 (8)(August 23),2012,Adobe Systems (formerly Macromedia),[null]
Dreamweaver,CC 2018 (18.2) (May 1),2018,Adobe Systems (formerly Macromedia),[null]
EZGenerator,4.1 (December),2012,Image-Line,[null]
Freeway,5.4.2 (November),2009,Softpress,[null]
GoLive,9.0 (June 1),2007,Adobe Systems (formerly GoLive Systems),[null]
Google Web Designer,(July),2018,Google  Inc.,[null]
HTML-Kit,292,[null],Chami.com,[null]
KompoZer,0.7.10/0.8b3 (August 30  2007/ March 1  2010),2010,Kaze,[null]
LibreOffice,6.1.2 (September 27),2018,The Document Foundation,[null]
Maqetta,Preview 5 (March 28),2013,IBM,[null]
Microsoft Expression Web,4.0.1460.0 (December 20),2012,Microsoft,[null]
Microsoft Office FrontPage,11.0.8174 (October 21),2003,Microsoft,[null]
Microsoft FrontPage Express,2.0,1997,Microsoft,[null]
Web Architect,6.9.1 (July 25),2012,mirabyte,[null]
Microsoft SharePoint Designer,2007 (December 4),2006,Microsoft,[null]
Microsoft Visual Studio Code,1.28.1 (October 11),2018,Microsoft,MIT License
Microsoft Visual Web Developer,[null],2008,Microsoft,[null]
Mobirise,4.8,2018,Mobirise.com,[null]
Mozilla Composer,1.7.13 (April 21),2006,Mozilla Foundation,[null]
Nvu,1.0 (June 28),2005,Linspire / Daniel Glazman,[null]
openElement,1.44 (January 21),2014,openElement,[null]
OpenOffice.org,4.1.5 (October 19),2017,Apache Foundation,[null]
oXygenXML Editor<ref>Though the focus of this software is clearly XML  it covers so much of the HTML and XHTML features (all of them  basically) as well as generating HTML and XHTML based documents and sites (e.g. WebHelp  ePub  etc.) that leaving it out just appears a bit weird.</ref>,17.1 (October),2015,Syncro Soft,(some components Apache License 2.0)
Quanta Plus,3.5.9 (February 20),2008,The Quanta Team,[null]
RocketCake,1.4,2017,Ambiera,[null]
SeaMonkey Composer,2.49.1 (November 4),2017,SeaMonkey Council,[null]
TextMate,2.0 Preview (August 12),2012,Macromates,[null]
TOWeb,5.07 (July 28),2013,Lauyan Software,[null]
WebStorm IDE,7.0 (September 26),2013,JetBrains,[null]
Editor,Version,Year,Creator,Software license
