Software,HTML,LaTeX<ref>This refers to the direct output of raw LaTeX (often in a format similar to the BibTeX-generated .bbl files). Many programs can export BibTeX (see above table)  which can then be processed into LaTeX.</ref>,RTF,Plain text,RSS,Other
Bebop,[null],[null],[null],[null],[null],[null]
BibBase,[null],[null],[null],[null],[null],[null]
BibDesk,[null],[null],[null],[null],[null],[null]
Biblioscape,[null],[null],[null],[null],[null],[null]
BibSonomy,[null],[null],[null],[null],[null],[null]
Bibus,[null],[null],[null],[null],[null],[null]
Bookends,[null],[null],[null],[null],[null],[null]
Citavi,[null],<ref>Database can be exported as a whole in BibTeX format. Text (i.e. thoughts  comments  and quotations) can be fed into a number of TeX editors in LaTeX code or UTF-8 </ref>,[null],[null],[null],[null]
CiteULike,[null],[null],[null],[null],[null],[null]
colwiz,[null],[null],[null],[null],[null],[null]
EndNote,[null],[null],[null],[null],[null],[null]
F1000Workspace,[null],[null],[null],[null],[null],[null]
JabRef,[null],[null],[null],[null],[null],[null]
KBibTeX,[null],[null],[null],[null],[null],[null]
Mendeley,[null],<ref>Database can be exported as a whole in BibTeX format.Insert citations via citation key generated by Mendeley  </ref>,[null],[null],[null],[null]
Paperpile,[null],[null],[null],[null],[null],[null]
Pybliographer,[null],[null],[null],[null],[null],[null]
ReadCube (now Papers),[null],[null],[null],[null],[null],[null]
refbase,[null],[null],[null],[null],[null],[null]
RefDB,[null],[null],[null],[null],[null],[null]
Reference Manager,[null],[null],[null],[null],[null],[null]
Referencer,[null],[null],[null],[null],[null],[null]
RefWorks,[null],[null],[null],[null],[null],[null]
SciRef,[null],[null],[null],[null],[null],[null]
Sente,[null],[null],[null],[null],[null],[null]
Wikindx,[null],[null],[null],[null],[null],[null]
WizFolio,[null],[null],[null],[null],[null],[null]
Zotero,[null],<ref name=Better_BibTeX></ref>,[null],<ref name=Zotero_plugins></ref>,[null],[null]
