Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
acx,802.11a  802.11b  802.11g,Cardbus  PCI,[null],[null],[null],[null],[null],[null]
an,802.11b,PC Card  PCI  ISA,[null],[null],[null],[null],[null],[null]
ath,802.11a  802.11b  802.11g,Cardbus  PCI,[null],[null],[null],[null],[null],[null]
athn,802.11a  802.11b  802.11g  802.11n,Cardbus  PCI-E  Mini PCIE,[null],[null],[null],[null],[null],[null]
atu,802.11b,USB,[null],[null],[null],[null],[null],[null]
atw,802.11b,Cardbus  PCI,[null],[null],[null],[null],[null],[null]
bwi,802.11b  802.11g,Cardbus  PCI,[null],[null],[null],[null],[null],[null]
cnw,N/A,PC Card,[null],[null],[null],[null],[null],[null]
ipw,802.11b,PCI,[null],[null],[null],[null],[null],[null]
iwi,802.11a  802.11b  802.11g,PCI,[null],[null],[null],[null],[null],[null]
iwn,802.11a  802.11b  802.11g  802.11n,PCI-E  Mini PCIE,[null],[null],[null],[null],[null],[null]
iwm,802.11a  802.11b  802.11g  802.11n,PCI-E  Mini PCIE,[null],[null],[null],[null],[null],[null]
malo,802.11b  802.11g,Cardbus  PC Card  PCI,[null],[null],[null],[null],[null],[null]
otus,802.11a  802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
pgt,802.11a  802.11b  802.11g,Cardbus  PCI,[null],[null],[null],[null],[null],[null]
ral,802.11a  802.11b  802.11g,Cardbus  PCI  Mini PCI,[null],[null],[null],[null],[null],[null]
ray,N/A,PC Card,[null],[null],[null],[null],[null],[null]
rtw,802.11b,Cardbus  PCI,[null],[null],[null],[null],[null],[null]
rtwn,802.11b  802.11g,Mini PCIE,[null],[null],[null],[null],[null],[null]
rum,802.11a  802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
run,802.11a  802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
uath,802.11a  802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
upgt,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
ural,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
urtw,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
urtwn,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
wi,802.11b,PC Card  PCI  USB,[null],[null],[null],[null],[null],[null]
wpi,802.11a  802.11b  802.11g,PCI,[null],[null],[null],[null],[null],[null]
zyd,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
