Server,Windows,Linux,macOS,BSD,Solaris,eComStation,OpenVMS,AIX,IBM i,z/OS,HP-UX
AOLserver,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Apache HTTP Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Apache Tomcat,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Boa,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Caddy,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Caucho Resin Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Caudium<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cherokee HTTP Server,<ref name="cherokeeAbout"> "The Windows native build is currently broken."</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
HFS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Hiawatha,<ref name="hiawathaAbout"></ref>,<ref name="hiawathaAbout"/>,<ref name="hiawathaAbout"/>,<ref name="hiawathaAbout"/>,<ref name="hiawathaAbout"/>,[null],[null],[null],[null],[null],[null]
IBM HTTP Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Internet Information Services,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Jetty (Java),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Jexus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
lighttpd,<br />(Cygwin),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
LiteSpeed Web Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Mongoose,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Monkey HTTP Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NaviServer,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NCSA HTTPd,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
nginx,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
[[Virtuoso Universal Server|OpenLink Virtuoso]],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Oracle HTTP Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Oracle iPlanet Web Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
thttpd,<br />(Cygwin),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
TUX web server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Wakanda Server,[null],<br />(via libbsd),[null],[null],[null],[null],[null],[null],[null],[null],[null]
Xitami,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Yaws,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
