Name,H.264,ASF,WMV,DivX / Xvid,MPEG-4,AVI,QuickTime,Other formats
Archos 105,[null],[null],[null],[null],[null],[null],[null],[null]
Archos 405,No<ref name="Archos">Playable when optional plug-in is purchased.</ref>,[null],[null],[null],[null],[null],No<ref name="Archos" />,MPEG-2<ref name="Archos" />
Archos 5,No<ref name="Archos" />,[null],[null],[null],[null],[null],No<ref name="Archos" />,MPEG-2 <ref name="Archos" /> MKV
Archos 605 WiFi / GPS,No<ref name="Archos" />,[null],[null],[null],[null],[null],No<ref name="Archos" />,MPEG-2<ref name="Archos" />
Archos 705 WiFi,No<ref name="Archos" />,[null],[null],[null],[null],[null],No<ref name="Archos" />,MPEG-2<ref name="Archos" />
Cowon A3,[null],[null],[null],[null],[null],[null],[null],[null]
Cowon D2,[null],[null],[null],No<ref name="Cowon">Playable when converted to Xvid (15frame/s) through JetAudio.</ref>,[null],[null],[null],[null]
Cowon Q5W,[null],[null],[null],[null],[null],[null],[null],[null]
Gigabeat T-Series,[null],[null],[null],No<ref name="WMV" />,No<ref name="WMV" />,No<ref name="WMV" />,No<ref name="WMV" />,[null]
GP2X F-200,[null],[null],No<ref name="Wmvplayer" />,[null],[null],[null],[null],[null]
iPod (before Nano 6G; iPod 6G does),[null],[null],[null],with plugin,[null],with plugin,[null],[null]
iriver clix 2G,[null],[null],[null],[null],[null],[null],[null],[null]
PSP Slim & Lite,[null],[null],[null],[null],[null],[null],[null],[null]
Rio PMP300,[null],[null],[null],[null],[null],[null],[null],[null]
Samsung Galaxy Player,[null],[null],[null],[null],[null],[null],[null],[null]
Samsung T10,[null],[null],[null],[null],[null],[null],[null],[null]
Samsung P2,[null],[null],[null],[null],[null],[null],[null],[null]
Sansa Fuze,[null],[null],[null],[null],[null],[null],[null],[null]
Sansa Fuze+,<ref name="FuzePlusAVC">Through Windows Sansa Converter or mencoder</ref>,[null],[null],[null],[null],[null],[null],[null]
Walkman NWZ-A810 series,[null],[null],[null],[null],[null],[null],[null],[null]
ZEN,No<ref name="WMV" />,[null],[null],[null],No<ref name="WMV" />,[null],[null],[null]
ZEN Vision W,No<ref name="WMV" />,[null],[null],[null],No<ref name="WMV" />,[null],[null],[null]
Zune,[null],[null],[null],[null],[null],[null],[null],DVR-MS<ref name="WMV">Playable when converted to WMV through bundled software. Does not sync directly with Windows Media Center.</ref>
ZVUE 260,[null],[null],[null],[null],[null],[null],[null],[null]
