[null],Native network encryption1,Brute-force protection,Enterprise directory compatibility,Password complexity rules2,Patch access3,Run unprivileged4,Audit,Resource limit,Separation of duties (RBAC)5,Security Certification,Attribute-Based Access Control (ABAC)
4D,(with SSL),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Adaptive Server Enterprise,(optional; to pay),[null],(optional ?),[null],(need to register; depend on which product)<ref></ref>,[null],[null],[null],[null],(EAL4+ 1),[null]
Advantage Database Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
DB2,[null],[null],(LDAP  Kerberos…),[null],[null],[null],[null],[null],[null],(EAL4+6),[null]
Empress Embedded Database,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
EXASolution,[null],[null],(LDAP),[null],[null],[null],[null],[null],[null],[null],[null]
Firebird,[null],<ref></ref>,(Windows trusted authenification),(by custom plugin),(no security page)<ref></ref>,[null],<ref></ref>,[null],7,[null],[null]
HSQLDB,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
H2,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Informix Dynamic Server,[null],[null],10,10,[null],[null],[null],[null],[null],[null],[null]
Linter SQL RDBMS,(with SSL),[null],[null],(length only),[null],[null],[null],[null],[null],[null],[null]
MariaDB,(SSL),[null],(with 5.2  but not on Windows servers),<ref name="mdb_cpc"></ref><ref name="mdb_spc"></ref>,<ref name="mdb_security"></ref>,[null],[null],[null],8,[null],[null]
Microsoft SQL Server,[null],[null],(Microsoft Active Directory),[null],[null],[null],(From 2008),[null],[null],(EAL4+11),[null]
Microsoft SQL Server Compact (Embedded Database),(not relevant  only file permissions),(not relevant),(not relevant),(not relevant),[null],(file access),[null],[null],[null],[null],[null]
Mimer SQL,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MySQL,(SSL with 4.0),[null],(with 5.5  but only in commercial edition),[null],(no security page)<ref></ref>,[null],[null],[null],8,[null],[null]
OpenBase SQL,[null],[null],(Open Directory  LDAP),[null],[null],[null],[null],[null],[null],[null],[null]
OpenLink Virtuoso,[null],[null],[null],(optional),(optional),[null],(optional),(optional),[null],[null],(optional)
Oracle,[null],[null],[null],[null],[null],[null],[null],[null],[null],(EAL4+1),[null]
Pervasive PSQL,[null],[null],[null],[null],[null],[null],12,[null],[null],[null],[null]
Polyhedra DBMS,(with SSL. Optional),[null],[null],[null],[null],[null],13,[null],13,[null],[null]
PostgreSQL,[null],(for 9.1),(LDAP  Kerberos…9),(as of 9.0 with passwordcheck module),<ref></ref>,[null],, with triggers<ref></ref>,[null],[null],(EAL11),[null]
Raima Database Manager,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RDM Server,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SAP HANA,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
solidDB,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SQL Anywhere,[null],[null],(Kerberos),[null],[null],[null],[null],[null],[null],(EAL3+1 as Adaptive Server Anywhere),[null]
SQLite,(not relevant  only file permissions),(not relevant),(not relevant),(not relevant),(no security page)<ref></ref>,(file access),[null],[null],[null],[null],[null]
Teradata,[null],[null],(LDAP  Kerberos…),[null],[null],[null],[null],[null],[null],[null],[null]
[null],Native network encryption1,Brute-force protection,Enterprise directory compatibility,Password complexity rules2,Patch access3,Run unprivileged4,Audit,Resource limit,Separation of duties (RBAC)5,Security Certification,Attribute-Based Access Control (ABAC)
