Firewall,License,Cost,OS
Clavister,[null],Included on all Clavister NGFWs,Proprietary operating system cOS Core
Check Point,[null],Included on Check Point security gateways,Proprietary operating system Check Point IPSO and Gaia (Linux-based)
FortiGate,[null],Included on all Fortigate devices,Proprietary  FortiOS  Based on the Linux kernel
Palo Alto Networks,[null],Included on Palo Alto Networks firewalls,Proprietary operating system PANOS
Sophos,[null],Included on Sophos UTM,Linux-based appliance
Cisco ASA Firepower,[null],Included on all CISCO ASA devices,Proprietary operating system
Cisco PIX,[null],Included on all CISCO PIX devices,Proprietary operating system
Juniper SSG,[null],Included on Netscreen security gateways,Proprietary operating system ScreenOS
Juniper SRX,[null],Included on SRX security gateways,Proprietary operating system Junos
Sonicwall,[null],Included on Dell appliance,Proprietary operating system SonicOS Based on the Linux kernel
Barracuda Firewall,[null],Included Firewall Next Generation appliance,Windows-based appliance embedded firewall distribution
Cyberoam,[null],Included Firewall Sophos appliance,Windows-based appliance embedded firewall distribution
D-Link,[null],Included Firewall DFL,Windows-based appliance embedded firewall distribution
Endian Firewall,[null],Free / Paid,Linux-based appliance
Forcepoint NGFW,[null],Included on all Forcepoint NGFW devices,Proprietary operating system
OPNsense,Simplified BSD / FreeBSD License,Free / Paid,FreeBSD-based appliance firewall distribution
pfSense,ESF/Apache 2.0,Free / Paid,FreeBSD-based appliance firewall distribution
Untangle,GPL,Free / Paid,Linux-based appliance firewall distribution
Zeroshell,GPL,Free / Paid,Linux/NanoBSD-based appliance firewall distribution
SmoothWall,GPL,Free / Paid,Linux-based appliance embedded firewall distribution <ref>"(Smoothwall is) a Free firewall that includes its own security-hardened GNU/Linux operating system"  Smoothwall. Retrieved on 2 August 2016.</ref>
IPFire,GPL,Free (Donations welcomed),Linux-based appliance embedded firewall distribution
WatchGuard,[null],Included on all Firebox devices,Proprietary  Fireware OS  Based on the Linux kernel
WinGate,[null],Free / Paid,Windows-based appliance embedded firewall distribution
