Implementation,PKCS #11 device,Intel AES-NI,VIA PadLock,ARMv8-A,Intel SGX,Intel QAT,Intel SHA
Botan,<ref name="Botan 1.11.31"></ref>,[null],[null],[null],[null],[null],[null]
cryptlib,[null],[null],[null],[null],[null],[null],[null]
Crypto++,[null],[null],[null],[null],[null],[null],[null]
GnuTLS,[null],[null],[null],<ref>https://lists.gnupg.org/pipermail/gnutls-devel/2016-October/008194.html</ref>,[null],[null],[null]
JSSE,[null],<ref></ref>,[null],[null],[null],[null],[null]
LibreSSL,[null],[null],[null],[null],[null],[null],[null]
MatrixSSL,[null],[null],[null],[null],[null],[null],[null]
mbed TLS,[null],<ref></ref>,[null],[null],[null],[null],[null]
NSS,<ref>Normally NSS's libssl performs all operations via the PKCS#11 interface  either to hardware or software tokens</ref>,<ref></ref>,<ref></ref>,[null],[null],[null],[null]
OpenSSL,<ref>https://habrahabr.ru/post/134725/  http://forum.rutoken.ru/topic/1639/  https://dev.rutoken.ru/pages/viewpage.action?pageId=18055184 </ref>,[null],[null],<ref></ref>,[null],[null],[null]
RSA BSAFE Micro Edition Suite,[null],[null],[null],[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added]
RSA BSAFE SSL-J </ref>}}</ref>}},[null],[null],[null],[null],[null],[null],[null]
SChannel,[null],[null],[null],[null],[null],[null],[null]
Secure Transport,[null],<ref>https://opensource.apple.com/source/Security/Security-55179.13/sec/Security/SecECKey.c</ref><ref>http://km.support.apple.com/library/APPLE/APPLECARE_ALLGEOS/HT5396/Crypto_Officer_Role_Guide_for_FIPS_140-2_Compliance_OS_X_Mountain_Lion_v10.8.pdf</ref>,[null],[null],[null],[null],[null]
wolfSSL,[null],[null],[null],[null],[null],<ref></ref>,[null]
[added],[added],[added],[added],[added],[added],[added],[added]
Implementation,PKCS #11 device,Intel AES-NI,VIA PadLock,ARMv8-A,Intel SGX,Intel QAT,Intel SHA
