Implementation,Secure Renegotiation <ref name=renegotiation>RFC 5746</ref>,Server Name Indication <ref name=tlsexts>RFC 6066</ref>,ALPN <ref name=alpn>RFC 7301</ref>,Certificate Status Request <ref name=tlsexts/>,OpenPGP <ref name=openpgp>RFC 6091</ref>,Supplemental Data <ref name=supdata>RFC 4680</ref>,Session Ticket <ref name=exporter>RFC 5077</ref>,Keying Material Exporter <ref name=sticket>RFC 5705</ref>,Maximum Fragment Length <ref name=tlsexts/>,Truncated HMAC <ref name=tlsexts/>,Encrypt-then-MAC <ref name=tlsEtM>RFC 7366</ref>,TLS Fallback SCSV <ref name=tlsfallbackscsv>RFC 7507</ref>,Extended Master Secret <ref name=extendedmastersecret>RFC 7627</ref>,ClientHello Padding <ref name=tlspadding>RFC 7685</ref>,Raw Public Keys <ref name=rawpublickeys>RFC 7250</ref>
Botan,[null],[null],<ref name="Botan 1.11.16"></ref>,[null],[null],[null],[null],[null],[null],[null],[null],<ref name="Botan 1.11.10"></ref>,<ref name="Botan 1.11.26"></ref>,[null],[null]
cryptlib,[null],[null],[null],[null],[null],[null],[null],[null],<ref name="cryptlib-maxfrag">Present  but disabled by default due to lack of use by any implementation.</ref>,[null],[null],[null],[null],[null],[null]
GnuTLS,[null],[null],<ref name="GnuTLS-3.2.0"></ref>,[null],<ref name="lists.gnupg.org">https://lists.gnupg.org/pipermail/gnutls-help/2017-August/004364.html</ref>,[null],[null],[null],[null],[null],<ref name="GnuTLS-3.4.0"/>,<ref name="GnuTLS-3.4.4"></ref>,<ref name="GnuTLS-3.4.0"/>,<ref name="DUMBFW"></ref>,<ref name="GnuTLS-3.6.6"></ref>
JSSE,[null],<ref name="docs.oracle.com"/>,<ref name="docs.oracle.com"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
LibreSSL,[null],[null],<ref name="libressl-2.1.3"></ref>,[null],[null],?,[null],?,[null],[null],[null],<ref name="libressl-2.1.4"></ref>,[null],[null],[null]
MatrixSSL,[null],[null],<ref></ref>,<ref name="matrixssl_3.8.3"/>,[null],[null],[null],[null],[null],[null],[null],<ref name="matrixssl_3.8.3"/>,<ref name="matrixssl_3.8.3"/>,[null],[null]
mbed TLS,[null],[null],<ref name="PolarSSL-1.3.6"></ref>,[null],[null],[null],[null],[null],[null],<ref name="mbed-2.0"/>,<ref name="mbedTLS-1.3.10"></ref>,<ref name="mbedTLS-1.3.10"/>,<ref name="mbedTLS-1.3.10"/>,[null],[null]
NSS,[null],[null],<ref name="NSS-3.15.5"></ref>,[null],<ref></ref>,[null],[null],[null],[null],[null],<ref></ref>,<ref></ref>,<ref></ref>,<ref name="NSS-3.15.5"/>,[null]
OpenSSL,[null],[null],<ref name="openssl-1.0.2-note"/>,[null],[null],?,[null],[null],[null],[null],[null],<ref>http://www.openssl.org/news/secadv_20141015.txt</ref>,<ref></ref>,<ref name="openssl-1.0.1g-note"></ref>,[null]
RSA BSAFE Micro-Edition Suite,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RSA BSAFE SSL-J,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SChannel XP/2003,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SChannel Vista/2008,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name="MS15-121"></ref>,[null],[null]
SChannel 7/2008R2,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name="MS15-121"/>,[null],[null]
SChannel 8/2012,[null],[null],[null],[null],[null],[null],<ref name="SChannel_SessionTicket"></ref>,[null],[null],[null],[null],[null],<ref name="MS15-121"/>,[null],[null]
SChannel 8.1/2012R2  10,[null],[null],[null],[null],[null],[null],<ref name="SChannel_SessionTicket"/>,[null],[null],[null],[null],[null],<ref name="MS15-121"/>,[null],[null]
Secure Transport,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
wolfSSL,[null],[null],<ref name="wolfssl-3.7.0"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Erlang/OTP SSL application,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Implementation,Secure Renegotiation,Server Name Indication,ALPN,Certificate Status Request,OpenPGP,Supplemental Data,Session Ticket,Keying Material Exporter,Maximum Fragment Length,Truncated HMAC,Encrypt-then-MAC,TLS Fallback SCSV,Extended Master Secret,ClientHello Padding,[added]
