[null],Visual query builder,Visual schema/model/E-R diagram design,Reverse engineering,Forward engineering,ER diagram groupboxes
Adminer,[null],[null],[null],[null],[null]
Altova DatabaseSpy,[null],[null],[null],[null],[null]
Database Deployment Manager,[null],[null],[null],[null],[null]
Database Workbench,[null],[null],[null],[null],[null]
DBeaver,[null],[null],[null],[null],[null]
DBEdit,[null],[null],[null],[null],[null]
ModelRight,[null],[null],[null],[null],[null]
Navicat,[null],[null],[null],[null],[null]
Navicat Data Modeler,[null],[null],[null],[null],[null]
MySQL Workbench,[null],[null],[null],[null],[null]
Oracle SQL Developer,[null],[null],[null],[null],[null]
Orbada,[null],[null],[null],[null],[null]
pgAdmin III,[null],[null],[null],[null],[null]
phpMyAdmin,[null],[null],[null],[null],[null]
SQL Database Studio,[null],[null],[null],[null],[null]
SQL Server Management Studio,[null],[null],[null],[null],[null]
SQLyog,<ref>SQLYog query builder</ref>,<ref>SQLYog schema designer</ref>,[null],[null],[null]
SQuirreL SQL,[null],[null],[null],[null],[null]
Toad,[null],[null],[null],[null],[null]
Toad Data Modeler,[null],[null],[null],[null],[null]
