Audio player,Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),smil/smi,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NSF,SPC,PSF
AIMP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Amarok,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Audacious,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Audion,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
cmus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cog,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
foobar2000,[null],[null],[null],[null],[null],[null],(plugin),[null],[null],(plugin),(plugin),(plugin),(plugin),(plugin)
JuK,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
JRiver Media Center,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MediaMonkey,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],(Winamp plugin),(Winamp plugin),(Winamp plugin)
MPXPLAY,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MusicBee,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Musicmatch Jukebox,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
musikCube,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Rhapsody,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Rhythmbox,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Sonique,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
XMMS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Zinf,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Audio player,Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),smil/smi,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NSF,SPC,PSF
