[null],Windows,macOS,Linux,iOS,BSD,Unix,AmigaOS,Other
Ability Photopaint,[null],[null],[null],[null],[null],[null],[null],[null]
ACD Canvas,[null],[null],[null],[null],[null],[null],[null],[null]
ACDSee,[null],[null],[null],[null],[null],[null],[null],[null]
Acorn Image Editor,[null],[null],[null],[null],[null],[null],[null],[null]
Adobe Fireworks*,[null],[null],[null],[null],[null],[null],[null],[null]
Adobe Photoshop,[null],[null],[null],(iPad),[null],[null],[null],[null]
Adobe Photoshop Lightroom,[null],[null],[null],[null],[null],[null],[null],[null]
Affinity Photo,[null],[null],[null],(iPad),[null],[null],[null],[null]
Aperture,[null],[null],[null],[null],[null],[null],[null],[null]
Autodesk SketchBook Pro,[null],[null],[null],[null],[null],[null],[null],[null]
Artipic,[null],[null],[null],[null],[null],[null],[null],[null]
ArtRage,[null],[null],[null],[null],[null],[null],[null],[null]
Artweaver,[null],[null],[null],[null],[null],[null],[null],[null]
Bibble*,[null],[null],[null],[null],[null],[null],[null],[null]
Bloom Image Editor,[null],[null],[null],[null],[null],[null],[null],[null]
Brush Strokes Image Editor,[null],[null],[null],[null],[null],[null],[null],[null]
Capture One,[null],[null],[null],[null],[null],[null],[null],[null]
Chasys Draw IES,[null],[null],[null],[null],[null],[null],[null],[null]
CinePaint,[null],[null],[null],[null],[null],[null],[null],[null]
CodedColor PhotoStudio Pro,[null],[null],[null],[null],[null],[null],[null],[null]
Corel PaintShop Pro,[null],[null],[null],[null],[null],[null],[null],[null]
Corel Painter,[null],[null],[null],[null],[null],[null],[null],[null]
Corel Photo-Paint,[null],[null],[null],[null],[null],[null],[null],[null]
darktable,[null],[null],[null],[null],[null],[null],[null],[null]
Deluxe Paint*,[null],[null],[null],[null],[null],[null],[null],<ref name="os_1">Deluxe Paint runs on only AmigaOS  Atari ST  and DOS.</ref>
DigiKam,[null],[null],[null],[null],[null],[null],[null],[null]
Erdas Imagine,[null],[null],[null],[null],[null],[null],[null],[null]
Fatpaint,[null],[null],[null],[null],[null],[null],[null],[null]
Fotografix,[null],[null],[null],[null],[null],[null],[null],[null]
F-Spot,[null],[null],[null],[null],[null],[null],[null],[null]
G'MIC,[null],[null],[null],[null],[null],[null],[null],[null]
GIMP,[null],[null],[null],<ref>https://www.gimp.org/features/#supported-platforms</ref>,[null],[null],[null],[null]
GimPhoto,[null],[null],[null],[null],[null],[null],[null],[null]
GIMPshop,[null],[null],[null],[null],[null],[null],[null],[null]
GNU Paint,[null],[null],[null],[null],[null],[null],[null],[null]
GrafX2,[null],[null],[null],[null],[null],[null],[null],[null]
GraphicConverter,[null],[null],[null],[null],[null],[null],[null],[null]
GraphicsMagick,[null],[null],[null],[null],[null],[null],[null],[null]
gThumb,[null],[null],[null],[null],[null],[null],[null],[null]
HDR PhotoStudio,[null],[null],[null],[null],[null],[null],[null],[null]
Helicon Filter,[null],[null],[null],[null],[null],[null],[null],[null]
ImageJ,[null],[null],[null],[null],[null],[null],[null],[null]
ImageMagick,[null],[null],[null],[null],[null],[null],[null],[null]
iPhoto*,[null],[null],[null],[null],[null],[null],[null],[null]
IrfanView,[null],[null],[null],[null],[null],[null],[null],[null]
Iridient Developer,[null],[null],[null],[null],[null],[null],[null],[null]
Kolourpaint,[null],[null],[null],[null],[null],[null],[null],[null]
Krita,[null],[null],[null],[null],[null],[null],[null],[null]
LazPaint,[null],[null],[null],[null],[null],[null],[null],[null]
LiveQuartz,[null],[null],[null],[null],[null],[null],[null],[null]
MacPaint*,[null],[null],[null],[null],[null],[null],[null],<ref name="os_3">MacPaint was developed for the classic Mac OS.</ref>
Microsoft Office Picture Manager*,[null],[null],[null],[null],[null],[null],[null],[null]
Microsoft Paint,[null],[null],[null],[null],[null],[null],[null],[null]
Microsoft Photo Editor*,[null],[null],[null],[null],[null],[null],[null],[null]
mtPaint,[null],[null],[null],[null],[null],[null],[null],[null]
MyPaint,[null],[null],[null],[null],[null],[null],[null],[null]
OpenCanvas,[null],[null],[null],[null],[null],[null],[null],[null]
Paint.NET,[null],[null],[null],[null],[null],[null],[null],[null]
Paint Tool SAI,[null],[null],[null],[null],[null],[null],[null],[null]
PC Paintbrush*,[null],[null],[null],[null],[null],[null],[null],<ref name="os_5">PC Paintbrush runs on only DOS.</ref>
Pencil2D,[null],[null],[null],[null],[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
Phatch,[null],[null],[null],[null],[null],[null],[null],[null]
Photogenics,[null],[null],[null],[null],[null],[null],[null],[null]
PhotoLine,[null],[null],[null],[null],[null],[null],[null],[null]
PhotoPerfect*,[null],[null],[null],[null],[null],[null],[null],[null]
Photos,[null],[null],[null],[null],[null],[null],[null],[null]
Photo Raster,[null],[null],[null],[null],[null],[null],[null],[null]
Picasa*,[null],[null],[null],[null],[null],[null],[null],[null]
PicMaster,[null],[null],[null],[null],[null],[null],[null],[null]
Pinta,[null],[null],[null],[null],[null],[null],[null],[null]
PixBuilder Photo Editor,[null],[null],[null],[null],[null],[null],[null],[null]
Pixelmator,[null],[null],[null],[null],[null],[null],[null],[null]
Pixen,[null],[null],[null],[null],[null],[null],[null],[null]
Pixia,[null],[null],[null],[null],[null],[null],[null],[null]
PMview,[null],[null],[null],[null],[null],[null],[null],[null]
Project Dogwaffle,[null],[null],[null],[null],[null],[null],[null],[null]
QFX,[null],[null],[null],[null],[null],[null],[null],[null]
Rawstudio,[null],[null],[null],[null],[null],[null],[null],[null]
RawTherapee,[null],[null],[null],[null],[null],[null],[null],[null]
Seashore,[null],[null],[null],[null],[null],[null],[null],[null]
Serif PhotoPlus,[null],[null],[null],[null],[null],[null],[null],[null]
Shotwell,[null],[null],[null],[null],[null],[null],[null],[null]
Tux Paint,[null],[null],[null],[null],[null],[null],[null],[null]
TVPaint,[null],[null],[null],[null],[null],[null],[null],[null]
UFRaw,[null],[null],[null],[null],[null],[null],[null],[null]
Ulead PhotoImpact*,[null],[null],[null],[null],[null],[null],[null],[null]
Ultimate Paint*,[null],[null],[null],[null],[null],[null],[null],[null]
WinImages,[null],[null],[null],[null],[null],[null],[null],[null]
Xara Photo & Graphic Designer,[null],[null],[null],[null],[null],[null],[null],[null]
XnView,[null],[null],[null],[null],[null],[null],[null],[null]
XPaint,[null],[null],[null],[null],[null],[null],[null],[null]
Zoner Photo Studio,[null],[null],[null],[null],[null],[null],[null],[null]
