Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
Aloaha Secure Stick,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ArchiCrypt Live,<ref name="ArchiCrypt">Secret-containers and Camouflage files ArchiCrypt Live Description</ref>,[null],[null],[null],<ref name="ArchiCrypt"/><ref>Supports "Guest" keys</ref>,[null],[null],[null],[null],<ref name="ArchiCrypt"/><ref>Using "Archicrypt Card"</ref>
BestCrypt,[null],[null],[null],[null],<ref>Supported by the BestCrypt container format; see BestCrypt SDK</ref>,[null],[null],[null],[null],<ref>Supported by the BestCrypt Volume Encryption software</ref>
BitArmor DataControl,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BitLocker,[null],<ref>With PIN or USB key</ref>,[null],<ref>BitLocker Drive Encryption: Value Add Extensibility Options</ref>,<ref name="BL_Overview"/>,<ref>Recovery keys only.</ref>,[null],<ref name="BL_Overview"></ref>,[null],[null]
Bloombase Keyparc,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CGD,[null],[null],[null],<ref name=cgd-paper></ref>,<ref name=inside-cgd></ref>,<ref name=cgd-paper/>,[null],[null],[null],<ref name="cgd-paper"/>
CenterTools DriveLock,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Check Point Full Disk Encryption,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CipherShed,<br />(limited to one per<br />"outer" container),<ref></ref>,[null],[null],<ref>Although each volume encrypted with CipherShed can only have one active master key  it is possible to access its contents through more than one header. Each header can have a different password and/or keyfiles if any (cf. TrueCrypt FAQ: Is there a way for an administrator to reset a volume password or pre-boot authentication password when a user forgets it (or loses a keyfile)?)</ref><ref name="truecrypt.org"></ref>,[null],[null],<ref name="TrueCrypt Foundation"></ref>,</ref> }},[null]
CryFS,[null],[null],[null],[null],[null],<ref></ref>,[null],[null],[null],[null]
CrossCrypt,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CryptArchiver,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cryptic Disk,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cryhod,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cryptoloop,[null],<ref name=dmcrypt-initrd>dm-crypt and cryptoloop volumes can be mounted from the initrd before the system is booted</ref>,[null],[null],[null],[null],[null],[null],[null],[null]
Cryptomator,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CryptoPro Secure Disk Enterprise,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CryptoPro Secure Disk for BitLocker,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cryptsetup / Dmsetup,[null],<ref name=dmcrypt-initrd/>,[null],[null],[null],[null],[null],[null],[null],[null]
DiskCryptor,[null],[null],[null],[null],[null],[null],<ref name=DiskCryptor></ref>,[null],[null],<ref name=DiskCryptor/>
DISK Protect,[null],<ref name=disk-protect></ref>,[null],[null],<ref name=disk-protect/>,[null],[null],[null],[null],[null]
Dm-crypt / LUKS,[null],<ref name=dmcrypt-initrd/>,[null],[null],[null],[null],[null],<ref name=dm-crypt_tpm></ref>,[null],[null]
DriveCrypt,<ref name=drivecrypt></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null]
DriveSentry GoAnywhere 2,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
E4M,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
e-Capsule Private Safe,<ref name=ps-mla></ref>,[null],[null],[null],<ref name="ps-mla"/>,[null],[null],[null],[null],[null]
eCryptfs,[null],[null],[null],[null],[null],[null],[null],[null],<ref>uses the lower filesystem (stacking)</ref>,[null]
EgoSecure HDD Encryption,[null],[null],[null],[null],[null],[null],<ref name="Intel"></ref>,[null],[null],[null]
FileVault,[null],[null],[null],[null],<ref name=nsa-vilefault/>,<ref name=nsa-vilefault></ref>,?,[null],[null],[null]
FileVault 2,[null],[null],[null],[null],[null],[null],<ref name=ars-filevault></ref>,[null],[null],[null]
FREE CompuSec,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
FreeOTFE,[null],[null],[null],<ref name=components>FreeOTFE has a modular architecture and set of components to allow 3rd party integration</ref>,<ref name=keyfiles>FreeOTFE allows multiple keys to mount the same container file via encrypted keyfiles</ref>,[null],[null],[null],[null],[null]
GBDE,[null],<ref name=freebsd-disk></ref>,[null],[null],<ref name=gbde-paper></ref>,<ref name=gbde-paper/>,<ref name=freebsd-disk/>,[null],[null],[null]
GELI,[null],<ref name=freebsd-disk/>,[null],[null],<ref name=geli-man></ref>,<ref name=geli-man/>,<ref name=freebsd-disk/>,[null],[null],[null]
Loop-AES,[null],<ref name=loop-aes></ref>,[null],<ref name=loop-aes/>,<ref name=loop-aes/>,<ref name=loop-aes/>,<ref name=loop-aes/>,[null],[null],<ref>Using customization</ref>
McAfee Drive Encryption (SafeBoot),[null],[null],[null],[null],[null],[null],<ref name="Intel"/><ref></ref>,[null],[null],[null]
n-Crypt Pro,[null],[null],[null],[null],[null],<ref name=ncrypt-bio>n-Crypt Pro does not use password authentication— biometric/USB dongle authentication only</ref>,[null],[null],[null],[null]
PGPDisk,[null],<ref name=pgp-faq></ref>,[null],[null],[null],<ref>PGP private keys are always protected by strengthened passphrases</ref>,[null],[null],[null],[null]
Private Disk,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ProxyCrypt,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
R-Crypto,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SafeGuard Easy,[null],[null],[null],[null],[null],[null],[null],<ref name="EmbeddedSecurity"></ref>,[null],[null]
SafeGuard Enterprise,[null],[null],[null],[null],[null],[null],[null],<ref name="EmbeddedSecurity" />,[null],[null]
SafeGuard PrivateDisk,[null],[null],[null],[null],[null],[null],[null],<ref name="Lenovo"></ref>,[null],[null]
SafeHouse Professional,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Scramdisk,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Scramdisk 4 Linux,<ref name=sd4l-tc>For TrueCrypt containers</ref>,[null],[null],[null],[null],<ref name=sd4l-tc/>,[null],[null],[null],[null]
SecuBox,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SecureDoc,[null],<ref name=sdoc-faq></ref>,[null],[null],[null],[null],[null],[null],[null],[null]
