English,Irish,Scottish Gaelic,Notes
in,[null],[null],In Classical Irish the forms were "i"  "a"  "in"  "an" – "i/in" when the following sound was slender  and "a/an" when the following sound was broad. In both Irish and Scottish  in the spoken language  the four forms of "i"  "a"  "in"  "an" still exist.
minister,[null],[null],In Irish  for a government minister
Bible,[null],[null],[null]
Germany,[null],[null],[null]
America,[null],[null],[null]
England,[null],[null],[null]
London,[null],[null],[null]
road,[null],[null],[null]
cold (sickness),[null],[null],Meaning illness
talking,[null],[null],(formerly ) in Irish means "fighting"  "quarrelling." in Scottish Gaelic is used as a noun only  meaning "speech " except in Arran where it is also a verb<ref></ref>
[added],[added],[added],[added]
